,text,user
42,@realDonaldTrump Stay away!!,InvestSarasota
43,@realDonaldTrump Fake news https://t.co/erXc3LtLDj,jwilso4755
44,RT @scientificrealm: @realDonaldTrump https://t.co/HFMxfiQmi0,Delizl225
45,RT @judgeyourself99: @realDonaldTrump #BlameTrump either trump is saying he’s senile and unfit for office and didn’t know that he retweeted…,2Heidishattuck7
46,@realDonaldTrump KKK loves you.,xavierraider
47,"@realDonaldTrump USA is going to hell, vote Biden/Harris—the Dynamic Duo",justdatruth2012
48,@realDonaldTrump Poor sleepy Joe... https://t.co/EFrrgL7t8D,nikkio
49,@realDonaldTrump https://t.co/LMcqutqI6A,Kendue6
50,@realDonaldTrump https://t.co/i0tEU5Td8R,theWing04
51,@realDonaldTrump LIAR! none of those in that crowd clears 400K /that's where JOE's taxes start. Polls: NPR/Marist:… https://t.co/EqKNjQROpN,ishirew
52,@realDonaldTrump #EndSARS,HNzubechukwu
53,@realDonaldTrump https://t.co/IWTOoB5IgN,vivianjens
54,RT @scientificrealm: @realDonaldTrump https://t.co/iGq884WO62,lesleeaustin19
55,@realDonaldTrump @TheBabylonBee Lies from the liar-in-chief.,CooleSocke7
56,@realDonaldTrump Everything. Stay home you superspreader!,DanCorbett1
57,@realDonaldTrump What’s the big mistake?,bibekla84828596
58,@realDonaldTrump Keep digging American lol,Freedum30528781
59,@realDonaldTrump I was there!! Spent 12 hours in line and was within the first 3 rows. I’ll never forget this .. wa… https://t.co/Rb9q3DIHSI,BooterBomb
60,RT @AdamZaccaria: @realDonaldTrump Best of luck to you tonight Mr President we love you if ever we needed our president it would be now sta…,DeoKamya
61,@realDonaldTrump @MSNBC @CNN @FoxNews @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @BBCWorld @ABC @CBS @nytimes… https://t.co/OcUDsEZYVt,William96785466
62,@realDonaldTrump Big T’s Farewell Covid Tour,realpatriotsos
63,"@realDonaldTrump If Joe wins, there won't be as much chaos and fighting/bickering between our countries. Trump isn'… https://t.co/HgRX9oKJnS",Aaron36914
64,@realDonaldTrump #SuperPredator refers to you @POTUS . Everyone knows you hung out with #JefferyEpstein &amp; trafficke… https://t.co/axLclAtZ1q,TXCat61
65,@realDonaldTrump Vote Trump and buy Goya,mariotsastre
66,"RT @Cleavon_MD: @realDonaldTrump Charles ""Dan"" Manrique, 71yo Nurse, Marion County Jail, Florida died of #covid19 on 8/8. He’d been a nurse…",Delizl225
67,@realDonaldTrump  @SenTedCruz  @TheJusticeDept  @RepDevinNunes  @TuckerCarlson  @jsolomonReports  @SGTreport  What… https://t.co/SSj2IcGWxo,Retired_Tex_Gal
68,@realDonaldTrump Nobody is with you RD,PhilArtsis
69,@realDonaldTrump “I will infect you all!” @realDonaldTrump,DJTurtleScratch
70,@realDonaldTrump https://t.co/hfh42ZIn4f,MohamedCruicks1
71,@realDonaldTrump You are right about that. More criminal behavior rather than transparent from an office supposedly… https://t.co/IiKCcDWYVY,PhilHal51583165
72,RT @AlkofahiGhaleb: @realDonaldTrump #POTUS Elena Marcus usa 🇺🇸♥️ - https://t.co/WHRwiDlaMk #Elena🌹🥰 @realDonaldTrump @VP  @mike_pence @Iva…,valeri_torr
73,RT @murray_nyc: @realDonaldTrump This is one of the most disgusting things Trump has ever tweeted. Who are the other people featured in thi…,lesleeaustin19
74,"RT @Cleavon_MD: @realDonaldTrump Jorge “George” A. Pena, 50, husband, father, sole breadwinner, Lehigh Acres, FL – died of #COVID19 on Augu…",Delizl225
75,RT @scientificrealm: @realDonaldTrump @NBCNews https://t.co/Lm0KLvQ4UK,Cookie76845799
76,@realDonaldTrump https://t.co/hfh42ZIn4f,MohamedCruicks1
77,"@realDonaldTrump Listen, he may mix somethings up but you flat out make stuff up and then double down on your bulls… https://t.co/DVJTycTXOr",ozz23232323
78,@realDonaldTrump Covidiots,jillolson01
79,@realDonaldTrump I grew up in the 80’s and 90’s and during that tune Trump was just a punchline. As an adult in the… https://t.co/t2cFX87rrG,MeIsLoveKitties
80,@realDonaldTrump For those of you still on the fence about Trump: - He has called the military losers and suckers -… https://t.co/6lZysbj5pW,nikhilrolla
81,RT @donwinslow: @realDonaldTrump @CNN @nytimes This is you in your own words. Your hateful words. https://t.co/ypz3vAX8dB,justtofactcheck
82,@realDonaldTrump So killing more voters better for Biden to win and thank God he will were done with Trump's lies l… https://t.co/MuBmmJ3y8R,michellecubell4
83,@realDonaldTrump Nearest Only! if @educationweek unsatisfactory @BetsyDeVosED @chronicle A)106*#AM @Techmoan  B)… https://t.co/aQuCNE07Jt,monsarkhe
84,@realDonaldTrump https://t.co/9t7iIXaXiB,GoodTrouble69
85,@realDonaldTrump What polls? Honestly how high are you right now?,sophmoric02
86,"@realDonaldTrump @NBCNews You sucked and as usual, you couldn’t directly answer any questions. What a joke you are!… https://t.co/xmY0YRfg1h",Cookie76845799
87,@realDonaldTrump Dayum,caleb91235811
88,@realDonaldTrump tDrump is a 🤡🤡🤡🤡🤡🤡🤡😱😱🤡🤡🤡🤡🤡🤡🤡🤡,lesleeaustin19
89,"RT @Cleavon_MD: @realDonaldTrump Daniel Fraser, 36yo nurse at Grand Villa Senior Living in St. Petersburg FL died of suspected #covid19. He…",Delizl225
90,"@realDonaldTrump You lie everywhere. Everyday. All the time. If you’re awake, you’re lying.",kpmseattle
91,@realDonaldTrump The world doesn’t care and more half of the US is a amongst that. And can we talk about how you fo… https://t.co/DA1osCFVBk,iAmTrinii
92,"@realDonaldTrump Oh yes we should not make that mistake. For that reason, I prefer to refer you as “Small D” to avo… https://t.co/BeaVTFrPsn",NoGivenFaux
93,"@realDonaldTrump is the top of the Republican ticket, but he's talking about leaving the country, which is in effec… https://t.co/HhxeM8uhFh",kachelme1
94,@realDonaldTrump Lies from the liar-in-chief.,CooleSocke7
95,@realDonaldTrump اتمنه لك الخير والشفاء من القلب يا قائد النيه الصافيه Traaaaamp mi    taha kriem    amiiiiiiiiiiii… https://t.co/DDe8HGa8Pl,XvSMhvOVb0cvD8O
96,RT @KFravahar: @realDonaldTrump fight for freedom - elect #Trump2020,dariushjavid18
97,@realDonaldTrump https://t.co/6o1NvlsM8M,RecycledSponge
98,"RT @lizard817: @realDonaldTrump “Florida woman who praised President Donald Trump for being ""handsome"" during Thursday night's NBC town hal…",crohnsmomma
99,"RT @Black2thBone: @realDonaldTrump Trump, you call that a crowd? 😂🤣😆   FLASHBACK:  Here's the #4MoreYears crowd that turned out for #Barack…",KolaKolaAwoo
100,"RT @danhill2011: @realDonaldTrump @Jamierodr14 Yes, Mr. President, Nancy is holding up the stimulus.  She would rather let millions of Amer…",itsmetemo
101,"@realDonaldTrump this Trump supporter videos have been taken down from YouTube, Vimeo and Facebook https://t.co/gl4xC3KG3n",GioanolaA
102,"RT @Cleavon_MD: @realDonaldTrump Jason Halterman, 43, independent contract driver, beloved son, brother, and friend, Pensacola, FL - passed…",Delizl225
103,@realDonaldTrump Super spreader events. He will even kill his supporters.,Nonnie85192050
104,@realDonaldTrump @GStephanopoulos https://t.co/2YgeA4ZUDY,veganAileen
105,@realDonaldTrump Lmao people actually like this goof?,Tylermcdowell13
106,"@realDonaldTrump So SAD! #SoSad I hear that even Haiti won’t take you, so good luck finding a hiding place Nov 4th! #BullyingPreventionMonth",TrollbotL
107,@realDonaldTrump @nypost https://t.co/LMcqutqI6A,Kendue6
108,@realDonaldTrump @Ms_Erika74 That's right! 2 can play the same game!,DianaLWeston1
109,@realDonaldTrump Congratulations on all your farewell rallies.,KerryPa30760558
110,@realDonaldTrump Hahaha. Did YOU say clueless? Hahaha,Adolf91838389
111,"@realDonaldTrump You probably have too, and also the rest of the states",misswren44
112,@realDonaldTrump You lied about COVID.,ErnestJr13
113,RT @robbystarbuck: @realDonaldTrump She sure did!   Kamala tore Sleepy Joe to shreds.  https://t.co/P5ASnfTOWR,Rich2Hall
114,RT @thebr0keb0i: @realDonaldTrump https://t.co/9zJwv80ept,StoneZone
115,@realDonaldTrump It’s never too late to do the right thing... https://t.co/KMI1hlSYVK,Cindy28420365
116,@realDonaldTrump dream on.  massive BLUE WAVE is coming!,ModerateMajori2
117,@realDonaldTrump “what do you have to lose” instead of “let me help you”??? This man i swear,cara_rossouww
118,@realDonaldTrump https://t.co/2qepXZr8SC,DinaChavez10
119,"RT @Cleavon_MD: @realDonaldTrump Dr. Eddie Negron, 69yo Internal Medicine, Ft Walton, FL, died of #covid19 7/24. He immigrated from Puerto…",Delizl225
120,@realDonaldTrump Mnuchin and Pelosi are still negotiating. No Republicans are in the talks. Senate has already said… https://t.co/4TMELOY5eP,SRBCmom
121,@realDonaldTrump @GStephanopoulos Here I found your campaign song - America is dedicating it to you https://t.co/2YgeA4ZUDY,veganAileen
122,@realDonaldTrump @Nancy_Miracle Shtap,mektronik
123,@realDonaldTrump 💪💪💪🇺🇲🇺🇲🇺🇲🇧🇷🇧🇷🇧🇷 #Trump2020,PlFialho1
124,@realDonaldTrump One reason why Pinocchio won't confront Putin on his aggression against the U.S.  is because Putin… https://t.co/T0EnC3SeJV,EugeneDorell
125,"RT @Cleavon_MD: @realDonaldTrump Dr. Steven Silverman, 71yo OBGYN, West Palm Beach, FL, died of #covid19 9/10. He had a gift for nurturing…",Delizl225
126,@realDonaldTrump Tell the turtle to pass Nancy's bill. Then you sign it. See... it's easy.,rorowe501
127,RT @atom_attic: @realDonaldTrump Nice crowd. Better make sure they vote before they are stuck in the ICU #SuperSpreaderTrump https://t.co/r…,StoneZone
128,@realDonaldTrump Biden town hall - 12.7 million viewers Trump town hall - 10.4 million viewers,Preciseh2O
129,"RT @Cleavon_MD: @realDonaldTrump Marjorie Blackman, 67 year old nurse at Seminole Pavilion in Seminole, Florida died of #covid19. She becam…",Delizl225
130,@realDonaldTrump https://t.co/3gcSJ4FKF7,GeorgeC94308079
131,"@realDonaldTrump Senator BEN SASSE (R) Nebraska, describes Trump very nicely. Republicans aren’t happy, “RINO BEN S… https://t.co/EeuBOWdq6K",luv11301427
132,@realDonaldTrump That’s false. You know who didn’t have to lie and cheat to win an election? https://t.co/rJjvKQzDPO,WhataWhich
133,@realDonaldTrump Covid’s helper,Teerexeco
134,"RT @Cleavon_MD: @realDonaldTrump ⚠️school bus driver Gail Brusseau, 66, died from COVID. She spent 26 years driving children to school in C…",Delizl225
135,@realDonaldTrump https://t.co/lSHr8AGbVz,SeanPat1977
136,@realDonaldTrump https://t.co/20jDpOqVfS,Ava123dd
137,@realDonaldTrump The clip speaks for itself.  @NBCNews sometimes you get it right. Watch  https://t.co/lJuI1wfgRj,tellalli
138,@realDonaldTrump https://t.co/ZuajZ935PO,GoodTrouble69
139,RT @Biden_Army: @realDonaldTrump #BREAKING AUDIO  @SenSasse in call with constituents   @realDonaldTrump  mishandled COVID Kisses dictators…,beckman_joy
140,@realDonaldTrump Pelosi needs to stop playing games with the American people. This is just one example of an urgent… https://t.co/3DI8bT5tGo,JanetMarieLauri
141,@realDonaldTrump  How did that turn out for you Spanky? https://t.co/KdC5BRz5W5,cnarq02
142,"@realDonaldTrump  Sir, The phrase you're looking for is ""Do you want China's most famously bought and paid-for poli… https://t.co/5PCAxodCXq",JPMintz
143,"RT @Cleavon_MD: @realDonaldTrump Guadalupe “Lupe” Money, 24, mother of a newborn (10 days old) and wife, Port Saint Lucie, FL – died August…",Delizl225
144,@realDonaldTrump https://t.co/LdH4nOCo1N,GoodTrouble69
145,RT @RepubTown: @realDonaldTrump TRUMP 2020! THE RADICAL LEFT DEMOCRATS WANT TO TAKE AWAY YOUR FREEDOM!,MrSpooks2020
146,@realDonaldTrump https://t.co/Q3Xwxrx5ms,ignilyan
147,@realDonaldTrump Rounding the corner? You effing idiot! You are #TheBiggestLoser #LockHimUp https://t.co/VMR1I5uiM5,StoneZone
148,@realDonaldTrump More incoherent ramblings.,WirralResident4
149,@realDonaldTrump https://t.co/vETyPhtqAr,seyid_gizi
150,@realDonaldTrump https://t.co/zIUPw5jVOE,PPineros_
151,@realDonaldTrump https://t.co/4PSAwmY3pq,ignilyan
152,"RT @pliu412: @realDonaldTrump @NateSilver538 Couldnot agree more! Only 4 models (HELMUT NORPOTH MODEL, DEMOCRACY INSTITUTE, Trafalgar Group…",newcecelia
153,@realDonaldTrump @NBCNews Not really!  😂😂😂,CooleSocke7
154,"@realDonaldTrump Sum it up doesn't it, and this pic was in Minnesota fucking sick! https://t.co/1XKBZHpOHw",Jeff_T_Miller
155,@realDonaldTrump heard you are considering leaving America after your defeat. Good idea!  I'm sure you will be safe… https://t.co/GleRTULsm8,Adolf91838389
156,@realDonaldTrump @GStephanopoulos “Trump” the perpetual VICTIM https://t.co/gpaIqlC7Bb,spookytooth007
157,"@realDonaldTrump Former WH COS John Kelly has told friends, about you: “The depths of his dishonesty is just astoun… https://t.co/KXPgmhN22U",EnVanligKvinna
158,@realDonaldTrump First President to lose a Town Hall meeting to a moderator.,68mph
159,@realDonaldTrump https://t.co/NM6m71g4at,MikeAbanks7
160,RT @jelle_simons: @realDonaldTrump Because common sense is bipartisan.. https://t.co/DqCwzaqOEt,gym1mer
161,"@realDonaldTrump Are you looking for a graphic designer? need any kind of graphic like, LOGO, Banner, Cover, FlYER… https://t.co/BA75QtQDaW",Nayonkh82825561
162,RT @rjDunfee: @realDonaldTrump #RacistInChief #TrumpIsRacist #TrumpIsARacist #RepublicanRacism #RacistRepublicans #Vote #VoteHimOut #VoteHi…,DowneyShellie
163,"RT @Cleavon_MD: @realDonaldTrump Jacqueline “Moochee” Spears, 58, CNA at Palm Terrace, Clewistown, FL died of #covid19 4/25. Devoted caregi…",Delizl225
164,"@realDonaldTrump Where will all the Trump staffers go after the election? To the end of long, and getting longer by… https://t.co/rLM8qDh1M7",HOGwino
165,@realDonaldTrump @NBCNews https://t.co/gFU1tTPDmI,mtery60
166,@realDonaldTrump PeloXi making america socialist China CCP gradually...,Roberto82634352
167,"RT @Cleavon_MD: @realDonaldTrump NORMAN FLEAGLE JR., 59, of St. Lucie County, Florida, died of COVID-19 on March 26th.   A US Navy veteran,…",Delizl225
168,@realDonaldTrump https://t.co/ZzvTh5mgfv,liza943truelove
169,"RT @Cleavon_MD: @realDonaldTrump Brandy Hearne, 41, single mother of two who worked in finance in the tax collector office of Okaloosa, FL…",Delizl225
170,"RT @jordanleoreal: @realDonaldTrump For a school Media project, my group were wondering if we could interview YOU, DonaldJTrump about your…",zyx_CS
171,@realDonaldTrump Trump always think about America first! Trump2020,austin56309039
172,@realDonaldTrump to go into exile https://t.co/xx3D1iLriq,buzz_money
173,RT @Cleavon_MD: @realDonaldTrump ⚠️dead at 16 16 y.o. Estella Perez from Homestead Florida died from #COVID. This death was preventable and…,Delizl225
174,@realDonaldTrump @GStephanopoulos thought this was a shitpost. should know by now but apparently not,YaWeeb1
175,RT @JoanneWT09: @realDonaldTrump STRAIGHT REPUBLICAN TICKET!! #TRUMP2020 🇺🇸🇺🇸 #VoteRedToSaveAmerica2020 🇺🇸🇺🇸 https://t.co/hynSTjKVhA,JimmyT42607811
176,"@realDonaldTrump More maskless COVIDIOTS in a hotspot... you must have felt so at home with so many people ""who nee… https://t.co/oNpU3DX7YO",Shinergise
177,"RT @Cleavon_MD: @realDonaldTrump Renada McGuire, 39yo Home Health Aide, Palm Coast, FL, died of #covid19 7/4. She decided to work with  men…",Delizl225
178,@realDonaldTrump https://t.co/HbHQXDZU6O,seyid_gizi
179,@realDonaldTrump @NBCNews I believe you are misinformed.,Cats422Sandra
180,@realDonaldTrump Don't look like it's very many people so your still going around infecting Americans for your bene… https://t.co/g1M2K6sFLC,michellecubell4
181,RT @scientificrealm: @realDonaldTrump https://t.co/MOXPXX9KWy,gym1mer
182,"RT @DebraMessing: @realDonaldTrump  You son of a bitch. This is not a PARTISAN ISSUE. People died. Homes, full communities were razed. And…",arusakow
183,"RT @Cleavon_MD: @realDonaldTrump ⚠️dead at 27 My cousin Simon Press was a gym teacher, semipro football player trying out for the @NFL, and…",noahcd28
184,@realDonaldTrump #trumppence,Lindawo24213169
185,"RT @itsJeffTiedrich: @realDonaldTrump @TheBabylonBee oh look, Crazy Uncle Conspiracy Doofus has logged on",NickWords1
186,@realDonaldTrump Why are you in Georgia?,LindaLucks1
187,"RT @lesleyabravanel: @realDonaldTrump @TheBabylonBee The Babylon Bee is satire, you stupendously stupid, syphilitic sock monkey. #TrumpIsAL…",PattyRoth18
188,"@realDonaldTrump Can't wait for you to leave, but want you in prison first.",CluteiSteven
189,"@realDonaldTrump Go spread lies, hate and Ofcourse some COVID - you are good at it",marbaise_sandra
190,@realDonaldTrump que te pasA dorito con mi comandante no te metas,B3TT3RH4B1T
191,@realDonaldTrump You could override for the stimulus package please. Your American people are hurting it here. Plea… https://t.co/GjJpBH2eOy,PamelaLongstre6
192,@realDonaldTrump Who cares!,PaulaBurkhart1
193,"@realDonaldTrump I thought ""Big T"" was the 27Trillion dollar national debt. https://t.co/BdNj7rmeqA",EthanABoyles
194,@realDonaldTrump @TheBabylonBee Dumbest man on earth,DookieSchitz
195,"@realDonaldTrump the last night was great, shall we repeat? no one needs to know!  big day👍🇧🇷",letteryoongi
196,@realDonaldTrump @TheBabylonBee That’s quite a spin on the real story which is that Giuliani got punked by Russian… https://t.co/TxkZa9s3AS,JclontzJf
197,@realDonaldTrump https://t.co/u2wXdrIRM2,seyid_gizi
198,@realDonaldTrump That is what you do...praising people that ruin things for other people.,5x8sen
199,"@realDonaldTrump I watch you every chance I get! My kids say ""really mom again?"" I could listen all day!! Thank you… https://t.co/BLVXtw9Hmu",YorkDreama
200,@realDonaldTrump https://t.co/v2iAFAXCfD,ferrari5228
201,@realDonaldTrump Mike Pence: One Big! Fly on his head!,skanquehunter
202,"RT @NoHolyScripture: @realDonaldTrump  No disrespect, but would you mind telling your voters whether you did ever pay for an abortion or ha…",Dr_S_A_Malcolm
203,@realDonaldTrump @GStephanopoulos I would take dancing lessons if I was you.,veigalawoffice1
204,@realDonaldTrump Your jail cell is waiting for you.... 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣  The Whitehouse will have to be fumigated to remo… https://t.co/G4w19EcUTq,MindSeductionx
205,@realDonaldTrump @Franklin_Graham  @TrumpWarRoom @SenatorCollins  What Chaos Like the Tower of Babel in the Bible.… https://t.co/9Kf9wKDeG7,Betty4Faith
206,@realDonaldTrump https://t.co/0AUpdI3E1w,HenryHi87971563
207,"RT @RuthAnn13634810: @realDonaldTrump By ALL means...thank you President Trump for all the battling you do, for us! Hope you are feeling be…",RuthAnn13634810
208,RT @AParra210: @realDonaldTrump @redsteeze @status_culture @RealBrysonGray @lee_ritz  @ChanelRion @LilYungPharaoh get this one trending!! h…,apok842
209,@realDonaldTrump https://t.co/pEPVUGeKwD,zhaoyan46111518
210,"@realDonaldTrump Yeah, I watched this instead:  https://t.co/g79ojB81bw",mstreib
211,@realDonaldTrump Stay at Home 😷😷😷,Tina07886782
212,@realDonaldTrump What is MAGA? short-term economic activity until the climate has turned over? a divided society? a… https://t.co/cnU1LUGsDw,Aventiuss
213,@realDonaldTrump Vote Biden if you love China and if you welcome Chinese.  Vote Trump if you dislike China and if y… https://t.co/8nT4suj9xY,beppuharu
214,@realDonaldTrump Your People! That all people should need to now! 30 Miles outside Saint Cloud MN. https://t.co/y6UQgBxYLy,Jeff_T_Miller
215,@realDonaldTrump #25thAmendmentNow look at king conspiracy!!! 🤣🤣🤣🤣,MikeAbanks7
216,@realDonaldTrump @cspan Your week hasn't been so hot either.,Cats422Sandra
217,@realDonaldTrump Big T is a good name for you. Very fitting. Small d is second best.,e_longhorn
218,@realDonaldTrump Super predator? He must have had you in mind. No mistake there.,sp_saunders
219,"RT @unleashthetea: @realDonaldTrump In 18 days, Donald J Trump will get 4 MORE YEARS in the WHITE HOUSE",MarcBruenjes55
220,"RT @Ink8Judy: @realDonaldTrump @TheBabylonBee NO. ACTUALLY TWITTER IS DOING THIS,  TO (PROTECT) AMERICANS ...  FROM (""DON the CON !!"")  TRU…",PattyRoth18
221,"@realDonaldTrump, so your ratings across 3 networks were lower than @JoeBiden's on a single network, huh?  💯🔥 https://t.co/cEMIex1jj6",ReparSandra
222,"RT @lizard817: @realDonaldTrump “Florida woman who praised President Donald Trump for being ""handsome"" during Thursday night's NBC town hal…",RacineRandi
223,@realDonaldTrump What is MAGA? short-term economic activity until the climate has turned over? a divided society? a… https://t.co/RE0mytCFgT,Aventiuss
224,@realDonaldTrump Mach macho man lol lol lol,veigalawoffice1
225,@realDonaldTrump The Russians.,xavierraider
226,@realDonaldTrump Ramblings of a mad old man.,WirralResident4
227,@realDonaldTrump You’re desperate! You’re losing!!! #trumpislosing,suzyleebee
228,@realDonaldTrump Your lying. Again.,TJtheAlienSpy
229,"RT @Cleavon_MD: @realDonaldTrump @NBCNews @cspan Eli Klausner, 64, died of COVID-19 on April 13th in North Carolina. A native New Yorker, h…",mazzmcp
230,@realDonaldTrump you were on more networks then Biden last night and he still got better ratings than you!!! Even w… https://t.co/jNJXgFhYgM,JLothe2nd
231,RT @K98nights: @realDonaldTrump https://t.co/Z1utr0QB6Y,EllieJB11
232,@realDonaldTrump  wrote off $70K from his taxes for haircuts yet teachers in many states don't even make $70K a yea… https://t.co/jiLkuljaVB,Yamnek
233,@realDonaldTrump Another super spreader event... #COVIDIOTS https://t.co/xTr0mnKF5F,Kilgore3Tommy
234,RT @EugJHawk: @realDonaldTrump #BLM #DesperateTrumpWillDoAnything #GOPLetHimInfectUs #2MillionDeadPerYearWithTrumpsHerdImmunity #TrumpGenoc…,gym1mer
235,"RT @manavjivan: @realDonaldTrump Racist, fascist &amp; rapist looking for 2nd term?  #TaxCheat   https://t.co/o5lnmGeQcg",anamurguia11
236,@realDonaldTrump Just read that trump is threatening to leave the country if Biden wins...no better reason than that to vote Biden,MeIsLoveKitties
237,@realDonaldTrump Everyone is entitled to one mistake.,NOMN45
238,"@realDonaldTrump ""Where's my Sharpie?""",GoodGolly7
239,@realDonaldTrump God bless you.,mrsPeggy9
240,@realDonaldTrump @NBCNews It’s hilarious to me that you losing is tied to multiple indictments... And record turnou… https://t.co/jUl2lULNui,jamdef7
241,"@realDonaldTrump #trumplies, as usual.",GotThePhix
242,"@realDonaldTrump Yes, indeed. It was an enormous crowd. https://t.co/4EYpYPX5ot",P6smS
243,RT @someknew: @realDonaldTrump y’all https://t.co/dZj0o6ir5l,BedsideFungus89
244,"@realDonaldTrump  if you dont put the Bidens in jail, they will put you in jail after your second term. YOU HAVE BEEN WARNED!!!",Sharmin66588728
245,RT @Phillip2020Vote: @realDonaldTrump PREDATORS!!! https://t.co/o3ml8wVGDt,radicalpops
246,@realDonaldTrump Finally! The secrets to Podesta's Perfect Risotto will soon be mine!,Zhuul4
247,@realDonaldTrump Looks like GA Sen David Perdue @sendavidperdue has stepped in your shit. Give $$$ to Jon Ossoff… https://t.co/fGAnvQb8Uq,Radio_Attitude
248,"@realDonaldTrump You tell em donnie! I mean John miller, Baron... Whatever the hell you're going by now, you know w… https://t.co/ZGO4DvPvJP",NicholasNickle9
