,text,user
33,"@JoeBiden Yup, Trump is responsible for the recession and lockdowns in most of Europe, India, Australia... what a full blown moron.",paw19910
34,"@JoeBiden you will be a beautiful president, joe biden. to put this kind of bold agenda out there. i live in a very… https://t.co/TawufxMUNF",margueritebloem
35,@JoeBiden https://t.co/kyf0Jeh2Jq,RavenMo19117813
36,@JoeBiden your son had a CRACK PIPE in his mouth…. Like in only 2020 is this the norm,mydogti
37,@JoeBiden https://t.co/cEfSXJ86uK,HardtWork
38,RT @judgeyourself99: @JoeBiden #VoteEarly #VoteInPerson #JustMakeSureYouVote this is America’s most important election ever. https://t.co/L…,CarterJoyce104
39,@JoeBiden https://t.co/gsu2EpZ7t7,HardtWork
40,@JoeBiden Let’s be clear:  all I do is complain and send negative tweets.,seriouslydavem
41,@JoeBiden your son had a CRACK PIPE in his mouth…. Like in only 2020 is this the norm,mydogti
42,@JoeBiden https://t.co/pM8B8VXpak,HardtWork
43,@JoeBiden U are part of the damn problem bcuz ur not standing up &amp; being a man ur following other ppls evil ways &amp;… https://t.co/kzXRSOt4Np,AngelDFJ
44,@JoeBiden https://t.co/oWcjnGeN40,HardtWork
45,@JoeBiden https://t.co/OV7ZWKvkGP,HardtWork
46,@JoeBiden  if you really love musicians please show some love to this one&gt;&gt;&gt;https://t.co/wa74gpETX2👁️,StreetWolf11
47,@JoeBiden https://t.co/x7tzbDgKrK,piman212121
48,@JoeBiden And definitely u r not the one who can give free health to all because u already have wasted your 47 years in the Government 🤦‍♀️,13_humanity
49,RT @reallyjustagirl: @JoeBiden @Bjorkian15 You got my vote tonight!! Let's do this Joe!!! https://t.co/AjX615kGSa,Bjorkian15
50,@JoeBiden  Joe what about Hunters email to his sister saying you were charging him money for helping him with Ukrai… https://t.co/0uMNMMl92G,dthiry
51,@JoeBiden You saying shit @JoeBiden ..ya keep laying emphasis on health care...is that gonna stop you from being a failure already..,Wixxybaba
52,"RT @Jailano: @JoeBiden As a UK citizen, it baffles me how someone can have 3 million more votes and NOT win 🤷‍♂️ I clearly don't understand…",ThiaraDoll
53,@JoeBiden Free healthcare for all,ExtraJosePylons
54,@JoeBiden https://t.co/Pi0kemm4Jq,Kelly75595171
55,@JoeBiden for PRESIDENT 🙌 #46 #VOTE https://t.co/KKlaEgpKNN,BrookeJ27540191
56,@JoeBiden Joe be bigger. All WE want to hear YOU SAY IS WHAT YOU WILL DO BETTER. we already know the count is worth… https://t.co/JRa4hCrBlt,amy_sur
57,@JoeBiden Mexico will be next to become an oppressed state.,elbuencharlie
58,"RT @WesleySpruce: @JoeBiden @CesarMASconsult I asked Joe Biden: What is your response to the NYPost story about your Crackhead son, sir?  H…",rebels1976
59,@joebiden is obviously a poor excuse for a man &amp; a father. America do not let this dolt anywhere near the White Hou… https://t.co/H4XiPpJfjs,RichBergold
60,@JoeBiden @HC_Richardson We dropped our ballots off this evening at the Washington State Elections’ steel lockbox t… https://t.co/MDuhDf7WH8,AbbiSeattle
61,"@JoeBiden I'm excited, that we can actually get green energy moving for our country.  The time is now. And infrastr… https://t.co/asksSTNokO",oiFDJ
62,@JoeBiden @NashvilleDeeDee YES,Tai_Maryn
63,@JoeBiden So then you are NOT going to repeal @realDonaldTrump tax cuts?,MarkHutter2112
64,@JoeBiden https://t.co/6RMkwZDeSL,JIN91380270
65,"@JoeBiden @CesarMASconsult I asked Joe Biden: What is your response to the NYPost story about your Crackhead son, s… https://t.co/SD2P70ZITj",WesleySpruce
66,@JoeBiden I agree watch the video https://t.co/0zIz9QE4RE if your not bias and have a open mind,bghmay
67,@JoeBiden The only reason they even have mask on is because they make fun of biden for wearing mask but atleast bid… https://t.co/bFaX6uLmCh,HannahShuman1
68,@JoeBiden You WROTE the crime bill that incarcerated minorities at a rate never seen before,AnthonyGriz
69,@JoeBiden Ich drücke Ihnen die Daumen das sie Präsident von Amerika werden.,PetraHaberkorn
70,@JoeBiden https://t.co/g3kyBXTGDP,asett33
71,@JoeBiden @HillaryClinton Presidents don't use the taxpayers' resources to enrich their families. Presidents don't… https://t.co/phOTO2ZD1Q,LeblancTurgenev
72,@JoeBiden For the people…….by the people  🤩💖🇺🇲🇺🇲🇺🇲💖🥰 @JoeBiden  @KamalaHarris is the ONLY vote that counts💯💯‼️‼️,JeanG_LoL_
73,@JoeBiden might as well let @BillCosby out https://t.co/VhSSysx4vA,Brillathekilla
74,@JoeBiden Or ANYONES suffering he just cares about himself #Narcissismaritsbest,JonSmit18449570
75,@JoeBiden https://t.co/il3hUW7MEy,EdwardAbril18
76,"@JoeBiden @KamalaHarris I can not wait until you are sworn in on January 20th, 2021. #November3rd2020",negativeEclipse
77,"@JoeBiden No, you’re not getting it: One must *give* healthcare to every single person, not expand access!!",blessedirl
78,"@JoeBiden Yes, that's why vote TRUMP. You are a terrible agent of CCP.",Mason7981
79,"@JoeBiden You said the N word! And that's never been acceptable whether you're quoting anyone or not, just ask Papa John's Snyder.",_t_blake
80,@JoeBiden مثلا مابایدروی باسن دخترها کیک رو لیس نزنیم یا اونروبامیزغدا اشتباه نگیریم درسته آقای جو,Saleh26789367
81,"@JoeBiden I am responsible for Trumps reign  of terror. I did not vote in 2016, I thought my vote did not matter. I… https://t.co/2o3hjPtpr7",Jennife33950125
82,@JoeBiden Haven’t you got the message yet. Stop repeating after POTUS. After getting caught with your pants down wh… https://t.co/pqFtxXx7lW,ShellyannDawki5
83,@JoeBiden  hunter lost the race for ya. @CNN  @MSNBC @ABC @NBCNews. You can't hide it. It's now in plane sight… https://t.co/ILOw4V4F40,omerta46189591
84,@JoeBiden @JLo @AROD Well it makes sense now https://t.co/5fMevd1txb,MikeDonaghy7
85,@JoeBiden @JLo @AROD Totally makes sense https://t.co/VuBX5JCSkD,MikeDonaghy7
86,@JoeBiden Bullshit,anakbaik364
87,RT @TheresaMechele: @JoeBiden How much did China chip in? #ChinaJoe,LotsoforHK
88,@JoeBiden @BarackObama @MichelleObama @DrBiden There’s no way he didn’t sniff him at least once this is crazy,RobertR71078924
89,@JoeBiden @KamalaHarris This is why health care for all will become inevitable,Eric41780473
90,@JoeBiden https://t.co/LHEUGRn9Lm https://t.co/Mim2KSIQSO,skiptheviolence
91,@JoeBiden https://t.co/LHEUGRn9Lm https://t.co/Mim2KSIQSO,skiptheviolence
92,RT @Jpdawe7: @JoeBiden ♥️🇺🇸💙 https://t.co/qzhILBw26Z,SEVENCLOVERS
93,"RT @Cloutassent: @JoeBiden ""Access"" doesnt mean shit if people cant afford it. I have access to healthcare, if I happen to have an extra $1…",blane_matthew
94,@JoeBiden Does this epidemic require masks? Asking for a friend 😂,FirmaFlora
95,@JoeBiden We need you and Kamala. #BidenHarrisToSaveAmerica,zeebap2
96,RT @ArthurSchwartz: @JoeBiden Your family took money from the Chinese Communist Party in exchange for meetings with you in the WH. You won’…,blane_matthew
97,@JoeBiden Shouldn't you be ready to go to jail?,Jennife700
98,@JoeBiden Obama care tore it down,this2shallchang
99,@JoeBiden Who is writing this drivel,DK87
100,@JoeBiden Great!!! You have my support,Jinnclovis
101,@JoeBiden people of color.  Sneaky way of saying the N word you racist bastard @realDonaldTrump https://t.co/IrpfeZbbj3,Brillathekilla
102,@JoeBiden How bad will your dementia be in 2-4 years? Lol,1DonB
103,@JoeBiden Any ideas who that should be?,StocksColin
104,@JoeBiden That s the advantage of our NHS. You don't have to worry what your health care insurance Co will pay up.,PaulWhitear4
105,@JoeBiden It’s a good thing u can’t do it ☺️,CoryBurfieldv
106,@JoeBiden HUNTER BIDEN.. game over.,ScottyDoesntGro
107,@JoeBiden @DrBiden @CNN @MSNBC @NBCNews @FoxNews @nytimes https://t.co/04qCE5p7ZG,yates_ricky
108,@JoeBiden We are talking about 22 people from last year....,N_Bjelland
109,"@JoeBiden #For2020 JoeBiden President, Kamala Harris Vice   For the rest of the presidential election,  God wants t… https://t.co/ariNUhP9p0",LSungoun
110,"@JoeBiden @JLo @AROD She's not wrong, but united we all stand against Trump and his corruption and bigotry.  Latino… https://t.co/amgVlz4HfJ",SaraHaldritch
111,"@JoeBiden That sure as hell is not you. You have ZERO for a plan. Just like the ACA, hot air.",firesimbret
112,"@JoeBiden Sleepy Joe, lucky you got that tweet in 3 minutes before your bed time",moally111
113,@JoeBiden @KamalaHarris It was the governors like Cuomo who you Biden want to make AG put sick COVID patients into… https://t.co/RSDB1vPy41,DesilvioNick
114,"RT @The1OnlyRichie: @JoeBiden The LGBTQ community LOVES you, President Biden. ❤️🌈❤️🌈❤️🌈❤️ https://t.co/LXclHe7SAe",vlonegl0ry
115,"@JoeBiden @KamalaHarris When trump strikes down the ACA 10,s of millions of people will suffer and be forced to go… https://t.co/6yrr2O6twQ",Eric41780473
116,"@JoeBiden Now we have Hunters business partner turning over 26,000 emails from his laptop showing Hunters involveme… https://t.co/F9VNbxN9QW",skiptheviolence
117,RT @RF69529999: @JoeBiden My advice.....wait for the truth that is now coming out. Joe wants you to vote today because he knows the truth t…,iven43601433
118,@JoeBiden @GameOverGreggy Wow,apoc_reg
119,RT @sandra_larson7: @JoeBiden My Dad's soybean field in North Dakota! https://t.co/46DRnxVIIX,ReneRebeTM
120,@JoeBiden Wow. It’s hard to imagine how this could happen under any other administration.,gbrahaney
121,"@JoeBiden I totally support you. You are a person with proven integrity, empathy, intelligence, knowledge and know… https://t.co/MXT92U9T7H",mo91950
122,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
123,"@JoeBiden Joe, this is one of the reasons that you are going to win.",andyojones
124,"@JoeBiden @JoeBiden 4ever don't worry you will win the election. joe biden - &gt;&gt; future, equality, and above all peace🙌🏼🌈",AllalehFarah
125,@JoeBiden Who do you recommend Joe? You've seen a few in your time as back seat driver.,Major_Bloodnock
126,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
127,@JoeBiden I believe u hired the cops that killed breyonna taylor and george floyd so protests and riots could happe… https://t.co/WZCyd7ftVh,iven43601433
128,@JoeBiden If you could finally admit that plans went up in price massively under ACA May we’d trust you. You should… https://t.co/NSeNIBKQUC,jonathan_rowden
129,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
130,@JoeBiden PERIODT KING YOU TELL EM,yee48724971
131,RT @sandra_larson7: @JoeBiden My Dad's soybean field in North Dakota! https://t.co/46DRnxVIIX,Lonestranger0
132,@JoeBiden Help the tutkish and siyriya kurds mr.biden,Barutfahrettin1
133,@JoeBiden @JLo @AROD AROD the cheater and JOE BIDEN the cheater- perfect match,kevin2814
134,@JoeBiden Sorry Joe but you can’t shut down reporters and not answer questions with “its a smear campaign”. That’s… https://t.co/dyw54AkTeJ,skiptheviolence
135,@JoeBiden Is that per individual or couple?,SalSagev7
136,@JoeBiden @BarryAycock Lol joe joe joe,lonniegibsonjr
137,"@JoeBiden @JRothenbergTV Please comment #EndSARS and Retweet for our fallen heroes 🕯   In peace, may you leave this… https://t.co/81sb9iY0G6",tjomario
138,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…,grandfla12703
139,@JoeBiden you need to win the election the thought of boris doing brexit with trump makes me feel sick @KamalaHarris,vintagecpk
140,"@JoeBiden Thank you for being an adult and showing maturity throughout this election. THAT, at the very least, is appreciated 🙏",MamaSlush1
141,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…,Teram323Tere
142,"@JoeBiden You absolutely must win the state of Florida to win your election, @JoeBiden",NormandPaul10
143,"@JoeBiden @JoeBiden ‘ corruption is unheard of! Why China give you money but not me, not other ordinary Americans?… https://t.co/ocr6rXyIj0",australialotus
144,"@JoeBiden When will be the day that Joe Biden gives a spontaneous, genuine and legitimate speech that springs from… https://t.co/NQWu6dvItW",farb007
145,@JoeBiden Help the kurds,Barutfahrettin1
146,@JoeBiden @JLo @AROD https://t.co/XzkfxpLTjW,kevin2814
147,@JoeBiden https://t.co/WUgcHs2inW,utahguy45
148,@JoeBiden @oldwac1 https://t.co/F7af5pZHme,boldknight1
149,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
150,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
151,@JoeBiden I STAND WITH JK ROWLING! If you dont biologically get a period you're not a woman. If you can biologicall… https://t.co/CnxgR6R2fR,bevington_t
152,@JoeBiden pig,AstraLi11
153,@JoeBiden We’re with you Joe!!! You’re the exact right man for this job!,JohnJScherer
154,@JoeBiden This honestly gives me so much hope for the trans community. As a trans women I fear for my own life ever… https://t.co/1YkLcszUEr,austin_9277583
155,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
156,@JoeBiden I honestly believe Biden is going to be one of the better Presidents the US has had four a very long time… https://t.co/rGBj5fomr1,SaraHaldritch
157,@JoeBiden Help the kurds mr.biden,Barutfahrettin1
158,@JoeBiden These numbers don't lie Joe. 4 thousand to 2 thousand dislikes. Screw your fake polls and your voter supp… https://t.co/rTOcVnCZoy,MichaelMayhem10
159,@JoeBiden @dandrezner @JoeBiden @DrBiden we lost our home to the Glass Fire last month. The prospect of Federal sup… https://t.co/GE1cvKglNL,kitbarron
160,@JoeBiden https://t.co/4tCDnnVzRz,utahguy45
161,@JoeBiden President elect,IbraKareem2
162,@JoeBiden You wouldn’t know tough if it smacked you in the face and you couldn’t help improve the country if your l… https://t.co/l98zp6nQgp,offthegridaz
163,@JoeBiden “Trumpery” is a real word derived from the French language.   Meaning:  trumpery • \TRUMP-uh-ree\ • noun.… https://t.co/jfNBHfwJ6z,hjelm_kjell
164,"@JoeBiden Trump isn't fanning any flames, I can tell you who is.  Democrats @NYGovCuomo &amp; @BilldeBlasio arresting,… https://t.co/q8EkTgYsj4",Oil_vampire
165,@JoeBiden PERIODT QUEEN YOU TELL EM,yee48724971
166,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
167,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
168,@JoeBiden And another one.. I stopped counting https://t.co/ILJ2RGByHa,CheekyRenamon
169,@JoeBiden Help the kurts mr.biden,Barutfahrettin1
170,@JoeBiden Way to go Sir!!!,JoelVil74726530
171,RT @judgeyourself99: @JoeBiden #VoteEarly #VoteInPerson #JustMakeSureYouVote this is America’s most important election ever. https://t.co/L…,MstrKnowItAll
172,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
173,@JoeBiden “Trumpery” is a real word derived from the French language.   Meaning:  trumpery • \TRUMP-uh-ree\ • noun.… https://t.co/9shsfc5yfB,hjelm_kjell
174,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
175,"@JoeBiden Next time you are asked about court packing, tell them ""How dare you ask me that question when Mitch McCo… https://t.co/Rhta17WSFi",81stinfbde
176,"@JoeBiden Hi, Joe Message and I approve this Biden",El_patoman420
177,@JoeBiden Good plan,Eveerosesayshuh
178,"@JoeBiden claimed another false fact today stating that 400,000 virus deaths would be more casualties than WWII but… https://t.co/z0SU2aaYlE",veritasmachine
179,@JoeBiden Pretty much every president has said the same words or something similar. I have saw yet to see it happen.,Halliwell_25
180,"@JoeBiden During a plan ""pandemic""  that was caused by your backers. No one is stupid Joe. And you constantly treat… https://t.co/XYmDnHxSAd",MichaelMayhem10
181,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
182,RT @shossy2: @JoeBiden @KamalaHarris You would need hundreds of hours of video to go thru to clear up a small % of his lies. Over 20k now.…,BUSTaTRUMP
183,@JoeBiden @KamalaHarris @JoeBiden the concern I have as one of your supporters (to an extent) is that you don't see… https://t.co/QQ7JU51fjP,ParkerO48309542
184,@JoeBiden @KamalaHarris So your saying your son Hunter isn’t a crack head ??? And if your elected would you be inap… https://t.co/S3Ke30Itbw,DesilvioNick
185,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
186,"@JoeBiden Let’s be clear, you have no idea what you are for breakfast.",BBreaker911
187,@JoeBiden https://t.co/AQcgy71Hbn,utahguy45
188,@JoeBiden https://t.co/zT7CY3ddXE,yates_ricky
189,@JoeBiden Help the kurds mr.biden,Barutfahrettin1
190,"@JoeBiden I need a loan, can you lend me some China dollars, my ss doesn’t pay enough to live on.",cfcdeva
191,@JoeBiden https://t.co/XzkfxpLTjW,kevin2814
192,"@JoeBiden Why just over that? Could you make the people living under your governence pay less money, no matter their income? Thank you.",XofSwordsOre
193,@JoeBiden Soon-to-be President Biden please consider amending our healthcare to completely free healthcare like Can… https://t.co/xdOGXIbgqm,SaraHaldritch
194,@JoeBiden  @KamalaHarris   #LiftTheTravelBan   IATA @IATA It's time for people &amp; countries to rebuild!  It's time t… https://t.co/ulPmbUCtYJ,a_noeri
195,@JoeBiden Joe Biden didn’t condemn the KKK today.   Joe Biden must be a racist,JoeBlow2021
196,"@JoeBiden Copycat! That is who we already have, Trump. He wants to EXPAND options and lower premiums. Plagiarism again.",zakkaemmanuel2
197,@JoeBiden https://t.co/ruPihsHmHX,petiejones
198,"@JoeBiden @BaseballNerd07 PROPAGANDA BY THE BOTS.   FALSE REPORTS AS USUAL.  HOW ABOUT THAT 7 MILLION JOBS, AND MAN… https://t.co/Cl6KpdPKJp",KinneChristina
199,@JoeBiden I hope you have a magic wand. For me and tons of struggling Americans. 🆘🇺🇸,TheTrumpBib
200,@JoeBiden Corrupted Biden,DarrenLue
201,@JoeBiden #Trump2020,HunterLuvsCrack
202,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…,RebeccaAnCampos
203,@JoeBiden the most assured way for me not to vote for you is for you to mention vaccines and mandates in the same s… https://t.co/e6WjP0IV2v,britkneebradley
204,@JoeBiden @realDonaldTrump  @Jim_Jordan Stop Armenian terrorism ! https://t.co/0fVSSpAKj1,allfuturesense
205,"@JoeBiden Didn't Joe Biden say ""if you don't vote for me you are not black"". Like did people just forget that. That… https://t.co/DB2mG0GlON",HauntedHouse100
206,@JoeBiden Joe Biden 🗣  The American people are smart 🇺🇸✅ They know they should only vote on November 3❗👍🏾 Because t… https://t.co/UBrFC9U8da,Amirali_a59
207,"@JoeBiden You can’t be that president,Never",Skizzyofficiall
208,@JoeBiden “Trumpery” is a real word derived from the French language.   Meaning:  trumpery • \TRUMP-uh-ree\ • noun.… https://t.co/hl97PcBfEU,hjelm_kjell
209,RT @Quiche4ever: @JoeBiden Same SEX/biSEXual attraction/relationships are DIFFERENT from a biological male body having access to biological…,TotoroTutu
210,@JoeBiden He need help joe https://t.co/2yBrSfffi3,dystopian42
211,@JoeBiden Why do you always have to bring color into it?  Enough!,michelle333223
212,@JoeBiden HE IS SATAN INCARNATE !!!,Kelly75595171
213,@JoeBiden You are #CorruptJoeBiden,smoothindv
214,@JoeBiden @KamalaHarris Your track record doesn't support this https://t.co/QyGQLlKwWO,tetsugorutsute
215,@JoeBiden No thanks resident,joshwakers
216,@JoeBiden yeah,Hygge78405308
217,"@JoeBiden @AvysDorinda We need a President who has not spent 47 yrs thieving, lying, and letting his entire family… https://t.co/JHNRRQNa4F",JimmyDonJohn1
218,"@JoeBiden My granddaughter today.   Hey Allison, who’s the good guy? https://t.co/rvy5Ougxfg",kristy_stroh
219,RT @chipfranklin: @JoeBiden Trump is the emergency.  Biden is the relief aid.  November 3rd the check arrives.,caymanislandman
220,@JoeBiden @KamalaHarris do not let this happen https://t.co/UXw3CPFIXR,dialogue4sanity
221,@JoeBiden Are you now against scientists that say there are only 2 genders?,HunterLuvsCrack
222,"@JoeBiden Take a rest, Joe!",micheaI5968049
223,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…,L1I9N6K4
224,RT @KlugeJosephB: @JoeBiden @PalmerReport @KamalaHarris You’re good people. Thank you both for stepping up to help us all rebuild from the…,johnpincombe
225,@JoeBiden Haven’t hear Joe Biden call out China for the lethal attack on the USA and the world with the Virus. This… https://t.co/uzKtJJAJjz,David40759894
226,@JoeBiden Loved watching this tonight with my 14 and 15 year old future voters!  Thank you @JoeBiden and… https://t.co/p2Ba1RMgC8,MellyJYo
227,"@JoeBiden Black or White? Doesn't matter!  Joy your life, just wearing a mask.🥰 I would choose Mr. Biden. https://t.co/Il5BLRPOaZ",SwissPeople
228,RT @DBroncFanzz: @JoeBiden Go take a nappy joe #CorruptJoeBiden,uaopuneedaop
229,@JoeBiden,Ken58310636
230,@JoeBiden #CancelSleepyJoe #Campaign #JoeBidenNotMyPresident,arogers353
231,"@JoeBiden ""If you dont for me your not black""",Hellotheir17
232,@JoeBiden to ever be dumb enough  to ever suggest that an 8 year old boy could have his own thoughts about being tr… https://t.co/Ipe04lwfOb,Marcus52878287
233,@JoeBiden #BidenCrimeFamily https://t.co/yNQI0oSLHH,TurnerDigital
234,@JoeBiden https://t.co/IzNEoLnxQE,Cesar_Reyes22
235,"@JoeBiden I'm so sorry, but you're just so smooth You're 47-year politician You don't have a track record to back up your campaign speeches",LLM14086755
236,RT @SmokeyLucaya: @JoeBiden @SenKamalaHarris @CaptMarkKelly @joangreeneaz @hiral4congress @delina4az @michael_muscato #Dems4AZ #AZ04 #AZ05…,DonnaSc21086399
237,"@JoeBiden Stop, stop, stop, stop, stop, stop, stop, stop, stop, stop, stop................",mrmgbauer
238,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…,EvieDaisy3
239,"@JoeBiden Promises promises, hey donnie need any help packing the bags? Word of advice, pack light.",jerseygirl3460
240,"@JoeBiden Well done, keep the change. https://t.co/15wtcR1f6W",CVIVHhJNSwowxln
241,@JoeBiden You are only out there to in rich you family,dsl_32
242,@JoeBiden @HillaryClinton #China,_alicia_40
243,"@JoeBiden @LWR1977 Oh snap, Uncle Joe 😎🤣😊",AgencyOfCentra1
244,@JoeBiden and son.. &lt;&lt;-- Pedophilia? End your candidacy to spare America the embarrassment! America now knows why t… https://t.co/7UB4idBDtV,JamesPh35387363
245,@JoeBiden how much money did you profit from your scheme with Hunter?,ReihlMargaret
246,RT @judgeyourself99: @JoeBiden #VoteEarly #VoteInPerson #JustMakeSureYouVote this is America’s most important election ever. https://t.co/L…,Annika_hopeful
247,"@JoeBiden I will have a deep sleep tonight, good luck Joe https://t.co/cLxXO5a2tx",huapinghan001
248,@JoeBiden https://t.co/3LPCBFCfGJ,Cesar_Reyes22
249,"@JoeBiden More lies like, ""If you like your doctor you can keep your doctor.""",Barry_C
250,@JoeBiden https://t.co/2Gr48zwbVO,Cesar_Reyes22
251,@JoeBiden This would be nice,celielena_
252,"@JoeBiden What like passing a plan that was designed to fail in the dead of night with zero bipartisan support, like Your old boss.",DEFeeney
253,@JoeBiden @KamalaHarris Love it,bibblz_onReddit
254,@JoeBiden And isn't a dictator wannabe who owes 419.4m to  @KremlinRussia_E,treetopsec
255,@JoeBiden @HillaryClinton https://t.co/pdHqgZ5ymX,DomesticLiberty
256,RT @LTsideVsDKside: @JoeBiden uh oh.   https://t.co/njCN4Ms9Uu,Cesar_Reyes22
257,@JoeBiden https://t.co/a1guOdY3cE,wendylu_1
258,@JoeBiden @funkygy123 I had never voted in a US election until this year...I turned 18 in early 2012. I believed US… https://t.co/U6IWyBXmzF,BalancedTake
259,RT @sandra_larson7: @JoeBiden My Dad's soybean field in North Dakota! https://t.co/46DRnxVIIX,matange2
260,@JoeBiden 🤣😂🤣😂,Tommy2x10311
261,@JoeBiden can I have Hunter's salary?,Valerie64617798
262,@JoeBiden What did joe sell to make hunter super rich?,sam202018489157
263,@JoeBiden https://t.co/AQcgy71Hbn,utahguy45
264,@JoeBiden A person should have the freedom not to get health insurance if they don't want it. Obamacare take that a… https://t.co/9wYaVib2rJ,Halliwell_25
265,"@JoeBiden BahahahHaaaaaa. Another Biden lie! You lie so much you believe yourself..... How about this one...No, you… https://t.co/irvk2cgigf",MichelleN2018
266,RT @TheresaMechele: @JoeBiden #BidenCrimeFamily Hunter Biden DEADBEAT DAD DENIED PATERNITY REFUSES TO PRODUCE TAX RETURNS blows off court h…,JimbobKooter
267,"@JoeBiden Guess you won’t remember you said this few minutes later. You are a fraud, you know you are not sound cog… https://t.co/QIi8QC5Ugz",ebtee2001
268,@JoeBiden ads say he fixed the economy in 2008..I thought @BarackObama said he did..so Obama was a tool under Biden… https://t.co/N1YnHpDsH0,vegaslocalcrazy
269,@JoeBiden https://t.co/PhWa4SczNt https://t.co/DFfn7krPSo,skiptheviolence
270,RT @mommicality: @JoeBiden @DrDinD Colorado is experiencing its largest fire ever. And they're expecting high winds over night. It's alarmi…,DrDinD
271,@JoeBiden https://t.co/PhWa4SczNt https://t.co/DFfn7krPSo,skiptheviolence
